Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
0	[0, 2, 1]	0.07977611940298507	0.072675	0.9665803571428572	0.9222461051373563	ESCC 139, EAC 128
5	[0, 3]	0.09656716417910446	0.07482499999999999	0.9664821428571428	0.9032790371391658	ESCC 139, EAC 128
1	[0, 1, 2]	0.08149253731343283	0.07894999999999999	0.9659464285714285	0.9176546794030108	ESCC 139, EAC 128
2	[0, 3, 2]	0.09022388059701492	0.0857	0.965669642857143	0.907238541040188	ESCC 139, EAC 128
2	[0, 1]	0.08522388059701491	0.08389999999999999	0.96490625	0.9118450662603641	ESCC 139, EAC 128
1	[0, 1, 3]	0.08022388059701491	0.078575	0.9645401785714286	0.9199860700880959	ESCC 139, EAC 128
4	[0, 3, 1]	0.07111940298507462	0.040374999999999994	0.96440625	0.926795467654857	ESCC 139, EAC 128
1	[0, 3, 2]	0.09253731343283582	0.08534999999999998	0.9641138392857144	0.9065718718283143	ESCC 139, EAC 128
2	[0]	0.08634328358208954	0.086725	0.9632455357142856	0.9103778847025643	ESCC 139, EAC 128
0	[4, 3, 2]	0.11276119402985074	0.089575	0.9631852678571429	0.877384521727119	ESCC 139, EAC 128
2	[0, 2]	0.08850746268656717	0.085225	0.9627053571428571	0.9083071350382261	ESCC 139, EAC 128
3	[0]	0.08910447761194028	0.08959999999999999	0.9625669642857143	0.9073143261363544	ESCC 139, EAC 128
2	[0, 3, 1]	0.0903731343283582	0.087975	0.9616964285714286	0.9078186349921925	ESCC 139, EAC 128
1	[0]	0.08373134328358209	0.07944999999999998	0.9616473214285713	0.9158139352675393	ESCC 139, EAC 128
2	[0, 1, 2]	0.08828358208955223	0.08307500000000001	0.96159375	0.9089073798226434	ESCC 139, EAC 128
0	[4, 3]	0.11529850746268658	0.095375	0.9596741071428572	0.8758200667998571	ESCC 139, EAC 128
3	[0, 3]	0.0952238805970149	0.09895	0.9595267857142856	0.9036255092534295	ESCC 139, EAC 128
6	[4, 3, 1]	0.07850746268656715	0.078125	0.9592834821428571	0.9136271036502751	ESCC 139, EAC 128
0	[0, 3]	0.0791044776119403	0.07749999999999999	0.9582544642857143	0.9231229215398682	ESCC 139, EAC 128
1	[0, 2]	0.09365671641791046	0.083225	0.9577700892857144	0.9056754423815789	ESCC 139, EAC 128
6	[4, 3]	0.10074626865671639	0.09675	0.9576495535714287	0.8902637605840988	ESCC 139, EAC 128
6	[4, 3, 2]	0.09597014925373135	0.09119999999999999	0.9576316964285714	0.89408047759721	ESCC 139, EAC 128
1	[0, 3]	0.09164179104477611	0.08849999999999998	0.9573303571428571	0.9084745944138484	ESCC 139, EAC 128
0	[0, 2]	0.08283582089552238	0.07669999999999999	0.957044642857143	0.9193914831742773	ESCC 139, EAC 128
6	[0]	0.08902985074626865	0.081275	0.956796875	0.9114700262849624	ESCC 139, EAC 128
6	[4, 3, 2, 1]	0.08514925373134329	0.07682499999999999	0.9566562500000001	0.9055463571181592	ESCC 139, EAC 128
